AKB_FILIAL;AKB_PROCES;AKB_ITEM;AKB_DESCRI;AKB_ORIGEM;AKB_ENTIDA;AKB_INDICE;AKB_PERMR;AKB_CFGON;AKB_ESTORN
01;000001;01;"CONTAS A RECEBER - Inclusao de titulos a receber                                ";"  ";SE1;1;" ";2;" "
01;000001;02;"CONTAS A RECEBER - Inclusao de titulos a receber - titulos Tipo RA              ";"  ";SE1;1;" ";2;" "
01;000001;03;"CONTAS A RECEBER - Geracao do titulo por desdobramento                          ";"  ";SE1;1;" ";2;" "
01;000001;04;"CONTAS A RECEBER - Rateio multi naturezas                                       ";"  ";SEV;2;" ";2;" "
01;000001;05;"CONTAS A RECEBER - Rateio C.Custo multi naturezas                               ";"  ";SEZ;4;" ";2;" "
01;000001;06;"CONTAS A RECEBER - Retencao de IRRF                                             ";"  ";SE1;1;" ";2;" "
01;000001;07;"CONTAS A RECEBER - Retencao de INSS                                             ";"  ";SE1;1;" ";2;" "
01;000001;08;"CONTAS A RECEBER - Retencao de ISS                                              ";"  ";SE1;1;" ";2;" "
01;000001;09;"CONTAS A RECEBER - Retencao de COFINS                                           ";"  ";SE1;1;" ";2;" "
01;000001;10;"CONTAS A RECEBER - Retencao de PIS                                              ";"  ";SE1;1;" ";2;" "
01;000001;11;"CONTAS A RECEBER - Retencao de CSLL                                             ";"  ";SE1;1;" ";2;" "
01;000001;12;"CONTAS A RECEBER - Pagamento de IRRF                                            ";"  ";SE2;1;" ";2;" "
01;000001;13;"CONTAS A RECEBER - Pagamento de ISS                                             ";"  ";SE2;1;" ";2;" "
01;000002;01;"CONTAS A PAGAR - Inclusao de titulos a pagar                                    ";"  ";SE2;1;" ";2;" "
01;000002;02;"CONTAS A PAGAR - Inclusao de titulos a pagar - titulos Tipo PA                  ";"  ";SE2;1;" ";2;" "
01;000002;03;"CONTAS A PAGAR - Geracao do titulo por desdobramento                            ";"  ";SE2;1;" ";2;" "
01;000002;04;"CONTAS A PAGAR - Rateio multi naturezas                                         ";"  ";SEV;2;" ";2;" "
01;000002;05;"CONTAS A PAGAR - Rateio C.Custo multi naturezas                                 ";"  ";SEZ;4;" ";2;" "
01;000002;06;"CONTAS A PAGAR - Pagamento de IRRF                                              ";"  ";SE2;1;" ";2;" "
01;000002;07;"CONTAS A PAGAR - Pagamento de INSS                                              ";"  ";SE2;1;" ";2;" "
01;000002;08;"CONTAS A PAGAR - Pagamento de SEST/SENAT                                        ";"  ";SE2;1;" ";2;" "
01;000002;09;"CONTAS A PAGAR - Pagamento de ISS                                               ";"  ";SE2;1;" ";2;" "
01;000002;10;"CONTAS A PAGAR - Pagamento de PIS                                               ";"  ";SE2;1;" ";2;" "
01;000002;11;"CONTAS A PAGAR - Pagamento de COFINS                                            ";"  ";SE2;1;" ";2;" "
01;000002;12;"CONTAS A PAGAR - Pagamento de CSLL                                              ";"  ";SE2;1;" ";2;" "
01;000003;01;"TRANSFERENCIAS - FINANCEIRO - Transferencia para carteira                       ";"  ";SE1;1;" ";2;" "
01;000003;02;"TRANSFERENCIAS - FINANCEIRO - Transferencia para contas a receber simples       ";"  ";SE1;1;" ";2;" "
01;000003;03;"TRANSFERENCIAS - FINANCEIRO - Transferencia para contas a receber descontada    ";"  ";SE1;1;" ";2;" "
01;000003;04;"TRANSFERENCIAS - FINANCEIRO - Transferencia para contas a receber caucionada    ";"  ";SE1;1;" ";2;" "
01;000003;05;"TRANSFERENCIAS - FINANCEIRO - Transferencia para contas a receber vinculada     ";"  ";SE1;1;" ";2;" "
01;000003;06;"TRANSFERENCIAS - FINANCEIRO - Transferencia para contas a receber advogado      ";"  ";SE1;1;" ";2;" "
01;000003;07;"TRANSFERENCIAS - FINANCEIRO - Transferencia para contas a receber judicial      ";"  ";SE1;1;" ";2;" "
01;000003;08;"TRANSFERENCIAS - FINANCEIRO - Bordero carteira                                  ";"  ";SE1;1;" ";2;" "
01;000003;09;"TRANSFERENCIAS - FINANCEIRO - Bordero contas a receber simples                  ";"  ";SE1;1;" ";2;" "
01;000003;10;"TRANSFERENCIAS - FINANCEIRO - Bordero contas a receber descontada               ";"  ";SE1;1;" ";2;" "
01;000003;11;"TRANSFERENCIAS - FINANCEIRO - Bordero contas a receber caucionada               ";"  ";SE1;1;" ";2;" "
01;000003;12;"TRANSFERENCIAS - FINANCEIRO - Bordero contas a receber vinculada                ";"  ";SE1;1;" ";2;" "
01;000003;13;"TRANSFERENCIAS - FINANCEIRO - Bordero contas a receber advogado                 ";"  ";SE1;1;" ";2;" "
01;000003;14;"TRANSFERENCIAS - FINANCEIRO - Bordero contas a receber judicial                 ";"  ";SE1;1;" ";2;" "
01;000003;15;"TRANSFERENCIAS - FINANCEIRO - Cancelamento de bordero                           ";"  ";SE1;1;" ";2;" "
