Tabelas;Descricao;Orcamento/Planejamento;Cadastro/Movimentos/Saldos;Modo;Modoun;Modoemp;Conferido;Obs.
AK1;Planilhas Orcamentarias;Orcamento;Cadastro;C;C;C;ok;
AK2;Itens Do Orcamento;Orcamento;Cadastro;C;C;C;ok;
AK3;Estrutura Do Orcamento;Orcamento;Cadastro;C;C;C;ok;
AK5;Contas Orcamentarias;Geral;Cadastro;C;C;C;ok;
AK6;Classes Orcamentarias;Geral;Cadastro;C;C;C;ok;
AK8;Processos De Sistema;Orcamento;Cadastro;C;C;C;ok;
AK9;Estrutura De Processo;Orcamento;Cadastro;E;E;E;ok;
AKA;Pontos De Bloqueio;Orcamento;Cadastro;C;C;C;ok;
AKB;Pontos De Lancamentos;Orcamento;Cadastro;C;C;C;ok;
AKC;Configuração De Lancamento;Orcamento;Cadastro;C;C;C;ok;
AKD;Lancamentos;Orcamento;Movimentos;C;C;C;ok;
AKE;Revisoes Da Plan. Orcamentaria;Orcamento;Cadastro;E;E;E;ok;
AKF;Operações Orcamentarias;Orcamento;Cadastro;C;C;C;ok;
AKG;Usuarios Da Plan. Orcamentaria;Orcamento;Cadastro;C;C;C;ok;
AKH;Configuração Dos Bloqueios;Orcamento;Cadastro;C;C;C;ok;
AKI;Config Lancamentos Bloqueio;Orcamento;Cadastro;C;C;C;ok;
AKJ;Tipos De Bloqueio;Orcamento;Cadastro;C;C;C;ok;
AKK;Totais Da Planilha;Orcamento;Cadastro;C;C;C;ok;
AKL;Cab. Config Visão Gerencial;Orcamento;Cadastro;E;E;E;;
AKM;Itens Config Visão Gerencial;Orcamento;Cadastro;E;E;E;;
AKN;Visão Gerencial Orcamentaria;Orcamento;Cadastro;E;E;E;;
AKO;Conta Gerencial Orcamentaria;Orcamento;Cadastro;E;E;E;;
AKP;Filtro Conta Ger. Orcamentaria;Orcamento;Cadastro;E;E;E;;
AKQ;Totais Visões Gerencial;Orcamento;Saldos;E;E;E;;
AKR;Simulações Planilha Orcamento;Orcamento;Cadastro;E;E;E;;
AKS;Saldo Mensal Cubos Gerenciais;Orcamento;Saldos;C;C;C;;
AKT;Mov. Diários Cubo Gerencial;Orcamento;Saldos;C;C;C;;
AKV;Controle Acesso Classe Valor;Orcamento;Cadastro;E;E;E;;
AKW;Entidades Do Cubo;Orcamento;Cadastro;C;C;C;;
AKX;Controle De Acesso Por Cc;Orcamento;Cadastro;E;E;E;;
AKY;Controle Acesso Item Contabil;Orcamento;Cadastro;E;E;E;;
